y,x
36.241277135546,A
41.1018599453325,A
34.9862283255397,A
49.5716848128267,A
41.9770466308922,A
35.0771896952919,A
42.9245743145709,A
44.4299482307753,A
43.454688109921,A
38.1676696770619,A
51.0471246738034,B
46.5593729456457,B
42.5150376778328,B
36.14120045129,B
49.4997236725724,B
44.8202655639391,B
44.9352389476042,B
48.7753448427412,B
48.2848847803924,B
47.37560528487,B
56.8379547432164,C
56.5642726014621,C
55.1491299667304,C
51.0212966082733,C
56.2396514957894,C
54.887742520942,C
54.6884089865893,C
52.0584952322015,C
54.0436998897828,C
55.8358831203994,C
40.6793397757645,D
39.9486061363285,D
40.1938358057797,D
39.9730974797085,D
39.3114702215857,D
39.7925027183502,D
39.8028550231448,D
39.9703433016444,D
40.5500126859919,D
40.3815878742288,D
29.8354764037464,E
29.7466383198635,E
30.6969633754047,E
30.5566631986737,E
29.3112443054505,E
29.2925048430379,E
30.3645819621368,E
30.7685329245154,E
29.8876537878498,E
30.8811077264542,E
